年月日,価格5kg
2015/1/1,1847
2015/2/1,1835
2015/3/1,1823
2015/4/1,1819
2015/5/1,1828
2015/6/1,1826
2015/7/1,1805
2015/8/1,1799
2015/9/1,1824
2015/10/1,1853
2015/11/1,1870
2015/12/1,1868
2016/1/1,1878
2016/2/1,1892
2016/3/1,1882
2016/4/1,1889
2016/5/1,1884
2016/6/1,1884
2016/7/1,1890
2016/8/1,1891
2016/9/1,1909
2016/10/1,1966
2016/11/1,1984
2016/12/1,2001
2017/1/1,2001
2017/2/1,2002
2017/3/1,2006
2017/4/1,2004
2017/5/1,2010
2017/6/1,2004
2017/7/1,2012
2017/8/1,2013
2017/9/1,2021
2017/10/1,2071
2017/11/1,2113
2017/12/1,2144
2018/1/1,2146
2018/2/1,2154
2018/3/1,2152
2018/4/1,2164
2018/5/1,2162
2018/6/1,2169
2018/7/1,2164
2018/8/1,2153
2018/9/1,2155
2018/10/1,2150
2018/11/1,2162
2018/12/1,2162
2019/1/1,2155
2019/2/1,2145
2019/3/1,2145
2019/4/1,2141
2019/5/1,2136
2019/6/1,2138
2019/7/1,2142
2019/8/1,2151
2019/9/1,2149
2019/10/1,2171
2019/11/1,2173
2019/12/1,2171
2020/1/1,2176
2020/2/1,2184
2020/3/1,2174
2020/4/1,2160
2020/5/1,2166
2020/6/1,2166
2020/7/1,2166
2020/8/1,2164
2020/9/1,2160
2020/10/1,2157
2020/11/1,2143
2020/12/1,2141
2021/1/1,2139
2021/2/1,2133
2021/3/1,2119
2021/4/1,2118
2021/5/1,2111
2021/6/1,2114
2021/7/1,2110
2021/8/1,2107
2021/9/1,2101
2021/10/1,2062
2021/11/1,2040
2021/12/1,2007
2022/1/1,2009
2022/2/1,2010
2022/3/1,1980
2022/4/1,1982
2022/5/1,1982
2022/6/1,1969
2022/7/1,1985
2022/8/1,1972
2022/9/1,1970
2022/10/1,2019
2022/11/1,2028
2022/12/1,2044
2023/1/1,2033
2023/2/1,2025
2023/3/1,2031
2023/4/1,2045
2023/5/1,2050
2023/6/1,2046
2023/7/1,2046
2023/8/1,2043
2023/9/1,2188
2023/10/1,2225
2023/11/1,2279
2023/12/1,2311
2024/1/1,2283
2024/2/1,2300
2024/3/1,2306
2024/4/1,2347
2024/5/1,2403
2024/6/1,2483
2024/7/1,2602
2024/8/1,2772
2024/9/1,3152
2024/10/1,3792
2024/11/1,3943
2024/12/1,3868
2025/1/1,3828
2025/2/1,4080
2025/3/1,4378
2025/4/1,4543
2025/5/1,4689
2025/6/1,4748
2025/7/1,4731
2025/8/1,4657
2025/9/1,4652
2025/10/1,4347
2025/11/1,4439
2025/12/1,4383
2026/1/1,4372
2026/2/1,4281
2026/3/1,4157
2026/4/1,3947
2026/5/1,3630
